,이름,주소,구 이름
0,금란망우점,서울 중랑구 망우로 460 (망우동),중랑구
1,동원사거리점,"서울 중랑구 겸재로 240 (면목동, 행복오피스텔)",중랑구
2,망우동점,서울 중랑구 망우로 416 (망우동),중랑구
3,망우중앙점,"서울 중랑구 용마산로115길 109 (망우동, 한일써너스빌리젠시2단지)",중랑구
4,망우코레일점,"서울 중랑구 망우로55길 11-10 (상봉동, 망우역)",중랑구
5,먹골역점,서울 중랑구 동일로157길 13 (묵동),중랑구
6,면목경남아너스빌점,서울 중랑구 면목로27길 92 (면목동),중랑구
7,면목늘찬병원점,"서울 중랑구 동일로 643 (면목동, 늘찬병원)",중랑구
8,면목본동점,서울 중랑구 면목로 370 (면목동),중랑구
9,면목역점,"서울 중랑구 면목로 429 (면목동, 킴스아파트)",중랑구
10,묵동자이점,"서울 중랑구 동일로 932 (묵동, 묵동자이아파트)",중랑구
11,봉화산역점,서울 중랑구 신내로 211 (신내동),중랑구
12,사가정아이파크점,"서울 중랑구 동일로92길 57 (면목동, 메디포레)",중랑구
13,사가정역점,서울 중랑구 면목로 325 (면목동),중랑구
14,상봉엠코점,"서울 중랑구 망우로 353 (상봉동, 상봉 프레미어스 엠코)",중랑구
15,상봉역점,서울 중랑구 망우로 277 (상봉동),중랑구
16,상봉중앙점,서울 중랑구 망우로 316 (상봉동),중랑구
17,서울상봉1동점,서울 중랑구 상봉중앙로 36 (상봉동),중랑구
18,서울중랑경찰서점,서울 중랑구 신내역로3길 40-11 (신내동),중랑구
19,서울중화초등학교점,"서울 중랑구 신내로7가길 7 (신내동, 제이리옴)",중랑구
20,서일중앙점,"서울 중랑구 용마산로 394 (면목동, 해동검도)",중랑구
21,신내동점,서울 중랑구 봉화산로 215 (신내동),중랑구
22,양원남부점,서울 중랑구 양원역로 25-10 (망우동),중랑구
23,양원역점,서울 중랑구 양원역로14가길 24 (망우동),중랑구
24,용마산역점,서울 중랑구 면목로 254-1 (면목동),중랑구
25,중랑교차로점,서울 중랑구 동일로 683 (면목동),중랑구
26,중랑역점,서울 중랑구 망우로 198 (상봉동),중랑구
27,중화동점,서울 중랑구 동일로129길 1 (중화동),중랑구
28,중화역점,"서울 중랑구 동일로 815, 1층",중랑구
29,화랑대역점,"서울 중랑구 신내로25가길 2 (묵동, 현동학당)",중랑구
30,강남YMCA점,서울 강남구 논현동,강남구
31,강남구청역아이티웨딩점,"서울 강남구 학동로 338 (논현동, 강남파라곤)",강남구
32,강남논현학동점,서울 강남구 논현로131길 28 (논현동),강남구
33,강남대치점,"서울 강남구 역삼로 415 (대치동, 성진빌딩)",강남구
34,강남도산점,서울 강남구 도산대로37길 20 (신사동),강남구
35,강남세곡점,"서울 강남구 헌릉로569길 9 (세곡동, 강남지웰파인즈)",강남구
36,강남율현점,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)",강남구
37,강남자곡점,"서울 강남구 자곡로 180 (자곡동, 강남유탑유블레스)",강남구
38,개포동역점,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)",강남구
39,건설회관점,서울 강남구 언주로 711 (논현동),강남구
40,대청역점,"서울 강남구 개포로109길 34 (개포동, 대청프라자)",강남구
41,대치역점,"서울 강남구 남부순환로 2937 (대치동, 까치빌딩)",강남구
42,도곡2동점,"서울 강남구 논현로 142 (도곡동, 동현빌딩)",강남구
43,도산사거리점,서울 강남구 논현동 ,강남구
44,삼성대치점,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)",강남구
45,삼성동점,서울 강남구 테헤란로88길 10 (대치동),강남구
46,삼성중앙역점,"서울 강남구 삼성로 608 (삼성동, 우창빌딩)",강남구
47,삼성한전점,서울 강남구 테헤란로107길 11 (삼성동),강남구
48,선릉역점,"서울 강남구 테헤란로 332 (역삼동, HJ타워)",강남구
49,선릉점,"서울 강남구 선릉로86길 15 (대치동, 현대선릉 GOLD TOWER)",강남구
50,선정릉역점,서울 강남구 봉은사로 326 (역삼동),강남구
51,수서역점,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)",강남구
52,신사역점,서울 강남구 압구정로2길 62 (신사동),강남구
53,신사점,서울 강남구 도산대로 118 (논현동),강남구
54,압구정로데오역점,서울 강남구 선릉로161길 20 (신사동),강남구
55,압구정점,서울 강남구 신사동,강남구
56,압구정현대점 ,"서울 강남구 압구정로 214 (신사동, 현대종합상가빌딩)",강남구
57,역삼더블루점,"서울 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)",강남구
58,역삼역점,서울 강남구 테헤란로25길 17 (역삼동),강남구
59,역삼월드점,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)",강남구
60,역삼점,서울 강남구 논현로72길 13 (역삼동),강남구
61,역삼중앙점,서울 강남구 언주로81길 8 (역삼동),강남구
62,역삼초교점,서울 강남구 강남대로 314 (역삼동),강남구
63,역삼충현점,서울 강남구 논현로98길 7 (역삼동),강남구
64,역삼플래티넘점,"서울 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)",강남구
65,을지병원사거리점,서울 강남구 도산대로30길 7 (논현동),강남구
66,이디야커피랩,"서울 강남구 논현로 636 (논현동, 이디야빌딩)",강남구
67,일원동점,서울 강남구 양재대로27길 20 (일원동),강남구
68,청담사거리점,서울 강남구 도산대로 521 (청담동),강남구
69,청담역점,"서울 강남구 삼성로 721 (청담동, 룩희 819)",강남구
70,포이사거리점,서울 강남구 개포로 218 (개포동),강남구
71,학동역점,"서울 강남구 학동로 219 (논현동, 국제빌딩)",강남구
72,학동제마점,서울 강남구 학동로34길 22 (논현동),강남구
73,한티역점,서울 강남구 도곡로69길 8 (대치동),강남구
74,4.19사거리점,서울 강북구 삼양로 501 (수유동),강북구
75,가오리역점,서울 강북구 삼각산로 108 (수유동),강북구
76,강북경찰서점,서울 강북구 오패산로 403 (번동),강북구
77,미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",강북구
78,미아삼거리역점,서울 강북구 도봉로10길 28 (미아동),강북구
79,미아삼거리점,"서울 강북구 도봉로 45 (미아동, 숭인시장)",강북구
80,미아송천점,서울 강북구 삼양로 118 (미아동),강북구
81,미아역점,서울 강북구 도봉로 207 -3(미아동),강북구
82,미아중앙점,서울 강북구 도봉로 128 (미아동),강북구
83,번동점,"서울 강북구 오현로 194 (번동, 덕수빌딩)",강북구
84,북한산점,서울 강북구 4.19로 85 (수유동),강북구
85,삼각산점,서울 강북구 솔샘로40길 3 (미아동),강북구
86,삼양사거리점,"서울 강북구 솔샘로 254 (미아동, 삼양아케이트)",강북구
87,삼양시장점,"서울 강북구 삼양로 234 (미아동, 대건빌딩)",강북구
88,수유1동점,서울 강북구 삼양로 293 (수유동),강북구
89,수유사거리점,"서울 강북구 덕릉로 82 (수유동, 제네스타워)",강북구
90,수유역점,서울 강북구 도봉로 355 (수유동),강북구
91,우이역도선사점,서울 강북구 삼양로173길 21 (우이동),강북구
92,한신대점,서울 강북구 덕릉로 31 (수유동),강북구
93,가양역점,서울 강서구 양천로 500 (등촌동),강서구
94,강서nc점,서울 강서구 강서로54길 11 (등촌동),강서구
95,강서가양동점 ,"서울 강서구 강서로 511 (가양동, 한림타운)",강서구
96,강서교차로점,"서울 강서구 공항대로 437 (등촌동, 주신기업(주))",강서구
97,강서구청점,"서울 강서구 화곡로 292 (화곡동, 서광프리메라)",강서구
98,강서한강자이점,서울 강서구 양천로 401 (가양동),강서구
99,개화산역점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",강서구
100,개화산점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",강서구
101,곰달래사거리점,서울 강서구 곰달래로 52 (화곡동),강서구
102,공항시장역점,"서울 강서구 방화동로 37 (방화동, 메디스타워)",강서구
103,까치산로점,서울 강서구 까치산로 182 (화곡동),강서구
104,까치산역점,서울 강서구 강서로17길 6 (화곡동),강서구
105,내발산점,"서울 강서구 강서로 304 (내발산동, 영종빌딩)",강서구
106,등촌3동점,서울 강서구 공항대로41길 34 (등촌동),강서구
107,등촌동점,"서울 강서구 공항대로61길 20 (염창동, 우리프리머스)",강서구
108,등촌역점,서울 강서구 등촌로 217 (등촌동),강서구
109,등촌중앙점,"서울 강서구 등촌로 67 (등촌동, 컴스웨이빌딩)",강서구
110,렘넌트문화센터점,"서울 강서구 화곡로63길 65 (등촌동, 예원교회)",강서구
111,마곡대방디엠씨티점,"서울 강서구 양천로 344 (마곡동, 마곡센트럴대방디엠시티오피스텔)",강서구
112,마곡수명산점,"서울 강서구 수명로 68-27 (내발산동, 웨스트엔드문화센터)",강서구
113,마곡엠밸리점,"서울 강서구 마곡서로 101 (마곡동, 동익드미라벨복합빌딩)",강서구
